gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
Tmem175,-0.0209,-0.0162,0.027,0.0317
Pld6,-0.0485,-0.0933,-0.0432,-0.0879
Gpx8,-0.0642,-0.3312,-0.1062,-0.3732
Dync1i1,0.053,0.0929,0.1035,0.1434
Plekho2,0.0961,0.1277,0.0288,0.0604
Ywhag,0.0263,0.0918,-0.0605,0.005
Star,-0.0159,-0.0305,0.008,-0.0066
Olfr482,0.0069,-0.0132,0.0857,0.0656
Tm2d3,0.2608,0.2291,0.1811,0.1495
Thumpd1,0.0215,0.0486,0.0188,0.0459
AC138229.1,-0.6446,-0.5816,-0.5707,-0.5078
Dcpp2,-0.0542,0.0604,-0.0804,0.0341
Trmt11,-0.0273,0.0235,-0.0488,0.0021
Oog3,-0.0404,-0.0042,-0.0399,-0.0036
AL731832.3,0.0304,0.0246,0.0051,-6.15020500029928E-4
Cd276,-0.269,-0.5981,-0.5175,-0.8466
Cypt12,-0.0076,-0.037,-0.0019,-0.0313
Arpc3,0.0065,0.0685,-0.0551,0.0069
AC101740.1,0.0594,0.0808,8.69E-04,0.0223
Aars,-0.2259,-0.1535,-0.14,-0.0676
Mbtd1,-0.4662,-0.6274,-0.2921,-0.4533
Olfr481,-0.0306,-0.0255,-0.0777,-0.0726
Rp1l1,0.0292,0.0642,0.0034,0.0384
Wasf2,-0.0658,-0.0513,-0.1154,-0.1009
AC165951.2,-0.022,-0.0587,0.0354,-0.0012
AC102488.1,-0.1993,-0.2521,-0.1433,-0.1961
AL691421.1,-0.0113,0.0027,0.005,0.019
Rbm7,-0.0382,-0.0387,-0.0212,-0.0217
Cxcl5,-0.0089,0.0098,0.0195,0.0383
Rfesd,-0.03,0.0711,-0.0246,0.0765
Tmprss2,-0.0063,-0.1038,0.0599,-0.0376
N6amt2,-0.073,-0.071,-0.4556,-0.4537
Slc2a9,-0.004,0.0328,-4.79E-04,0.0363
Kcnk9,-0.042,-0.067,-0.0041,-0.0291
Inpp5d,0.2139,0.2423,0.3026,0.331
V1re10,0.0141,-0.0347,-0.018,-0.0668
Leap2,-4.23E-04,0.062,-0.0335,0.029
Rad51ap1,0.1385,0.1242,0.1214,0.1071
Gdf5,0.0695,0.0556,0.0247,0.0107
RP23-33P17.7,-0.0598,0.0327,-0.0517,0.0408
Olfr1176,0.0326,0.0369,0.0159,0.0202
Slc13a2,0.1161,0.0393,0.097,0.0202
Slc35b2,0.0784,0.3441,0.2234,0.4891
Gripap1,-0.0064,0.2048,-0.0058,0.2054
Ccnb2,0.0549,0.0097,0.03,-0.0152
Siah1b,-0.1747,-0.0943,-0.0711,0.0093
Morc2a,-0.0533,-0.0155,-0.1607,-0.1229
Itga7,0.0106,-0.0499,0.051,-0.0096
Mansc1,0.1656,-0.0598,0.1686,-0.0568
Klk1b21,-0.0418,-0.036,-0.0523,-0.0465
Ankrd7,0.0383,0.115,-0.0125,0.0642
Zmynd12,0.0022,-0.0323,-0.0117,-0.0462
Obox6,0.1073,-0.013,0.077,-0.0434
Zfp474,-0.0838,-0.0912,0.0214,0.0139
Myo9a,0.0321,0.0747,5.56E-04,0.0432
Gm1006,0.0187,0.0389,-0.0999,-0.0797
Raet1e,-1.0354,-0.3595,-0.7958,-0.12
Kcne3,0.0231,0.0136,0.024,0.0144
Sall3,-1.0058,-0.6595,-0.7666,-0.4203
AC119873.1,-0.0155,-0.0325,0.0106,-0.0064
Mfsd7b,-0.2226,-0.0369,-0.2153,-0.0296
Mrps30,0.0628,-0.1432,0.0831,-0.1229
AC155074.1,0.0518,0.0103,0.1215,0.0799
Grid2ip,0.1018,0.0288,0.0605,-0.0125
Lrfn3,0.0563,0.1101,-0.0961,-0.0424
Olfr480,0.0223,0.0148,-0.0361,-0.0436
Gtf2f2,-0.1515,0.7105,-0.3944,0.4676
Ccdc110,-0.03,0.0133,-0.0509,-0.0076
Olfr746,0.0033,-0.018,-0.0251,-0.0464
Olfr295,0.0349,0.0832,-0.0299,0.0184
Bsg,0.0284,0.0366,0.0205,0.0286
Zfp207,0.091,0.0557,-0.0494,-0.0848
6030419C18Rik,0.1364,0.1315,0.0881,0.0832
Steap4,0.0496,0.0773,0.0127,0.0404
Gbp5,-0.0155,-0.0175,0.0516,0.0496
Hnrnpf,-0.1993,-0.2521,-0.1433,-0.1961
AL645739.1,-0.0083,0.0144,0.0321,0.0548
Gstm1,-0.3176,-0.7157,0.0517,-0.3465
Mcpt9,0.0297,0.0061,0.0107,-0.0129
Olfr1391,-0.044,-0.0288,-0.0212,-0.0061
Zfand2b,0.2962,0.3878,0.1533,0.2449
Rpn2,0.189,0.0269,0.0536,-0.1086
Sec16a,-0.2053,-0.2481,-0.2281,-0.2709
Amh,-0.0066,-0.0065,0.0101,0.0103
Adam3,-0.0673,-0.0705,-0.0177,-0.021
Arl6ip5,-0.0055,0.3376,0.0262,0.3692
Hal,0.2997,0.5357,0.2529,0.4889
Gja5,0.0909,0.0775,6.88E-04,-0.0127
Tagap,-0.088,-0.0643,-0.0614,-0.0377
AC159308.3,-0.2254,-0.0853,-0.1224,0.0178
4921511H03Rik,0.0042,0.0406,-0.0294,0.0071
1600015I10Rik,0.0246,0.0079,-0.0146,-0.0313
4933432I09Rik,-0.0638,-0.0465,-0.0532,-0.0358
Acsm4,0.157,0.0356,0.122,7.14660748851514E-4
Klk1b27,0.0363,0.0827,0.0268,0.0732
Lrp5,0.0615,0.0353,-0.0306,-0.0568
AC154764.1,0.0441,0.0651,0.014,0.035
AC164570.1,0.0039,0.0407,-0.0465,-0.0097
AL663082.3,-0.3401,-0.3874,-0.2899,-0.3372
Olfr298,-0.0096,0.0099,0.0396,0.0591
Csf2ra,-0.2239,-0.3369,-0.1343,-0.2472
Cep72,-0.0122,-0.0581,0.0102,-0.0358
Slc22a17,0.0583,0.0757,-0.0388,-0.0215
Uhmk1,-0.0366,-0.0856,0.022,-0.027
Slc6a7,-0.0328,0.0238,-0.0345,0.0222
AC163637.1,-0.0597,-0.0665,-0.038,-0.0448
St3gal3,-0.5129,-0.404,-0.3508,-0.2418
Sertad1,-0.0536,0.2796,0.007,0.3402
Tigd2,0.3619,0.2154,0.3974,0.2509
Ada,0.0394,0.0694,0.0095,0.0395
Errfi1,-0.419,-0.5789,-0.3465,-0.5065
AC138299.1,-0.6538,-0.1747,-0.6311,-0.152
Sgpp2,0.0146,0.0236,9.63E-04,0.01
Wnt7a,-0.0624,-0.107,-0.0683,-0.1128
Obox5,-0.0677,-0.0307,-0.0154,0.0216
Ifna12,-0.0535,0.0165,-0.0043,0.0657
AC111009.1,-0.0357,-0.0528,0.0047,-0.0125
AC102874.2,-0.0277,-0.0418,-0.0206,-0.0347
Cdk20,-0.0495,-0.0691,-0.0044,-0.024
Lrrtm1,6.99E-04,-0.0142,-0.0502,-0.065
Nup153,-0.0197,-0.0344,-0.0044,-0.0191
Gdf7,-0.0511,-0.0166,-0.0254,0.0092
Aco2,0.1824,0.2192,0.0999,0.1367
4930555I21Rik,0.0421,0.0595,-0.0212,-0.0038
AC102377.1,0.0613,0.149,-0.032,0.0558
Asl,0.0156,-0.0556,0.0362,-0.035
Olfr1173,0.0149,-0.0157,0.0113,-0.0193
Cd274,-0.0621,-0.1155,-0.0032,-0.0566
Zfp473,0.0064,0.0684,-0.0925,-0.0305
Olfr888,0.044,0.0428,-0.0275,-0.0288
Mpdz,-0.0877,-0.1345,-0.053,-0.0997
AC118710.2,0.0037,0.0328,0.0065,0.0356
Sh2d1a,0.0431,0.032,0.0503,0.0392
Olfr1170,0.0016,-0.0373,-0.0248,-0.0637
Actc1,-0.1601,-0.2235,-0.1109,-0.1743
Trmu,0.064,0.1615,-0.0112,0.0863
BC002230,0.0146,0.3729,-0.0629,0.2954
Nelf,0.0394,0.0862,0.0169,0.0637
Tiam2,-0.0332,-0.0809,-0.0042,-0.0519
Robo2,-0.0051,-0.0544,-0.0308,-0.0801
Bag5,-0.0939,0.1085,0.0756,0.2779
6330577E15Rik,-0.0362,-0.0945,0.1873,0.129
Calcr,-0.0349,-0.0621,-0.0734,-0.1007
Cts8,0.0467,0.0239,0.0048,-0.018
Morc4,0.0233,0.0344,0.0209,0.032
Chst9,-0.0162,0.0045,-0.0082,0.0125
Eps15,-0.0169,-0.0187,-0.0176,-0.0195
Tuba1b,0.0324,-0.0347,0.0711,0.0039
Rya3,0.0247,0.011,-0.0072,-0.0209
Pappa,-0.0388,0.0119,-0.0684,-0.0176
Dgki,0.0099,0.0483,-0.0163,0.0221
AC150895.1,-0.0042,0.0531,0.0549,0.1123
Lrrc8a,0.0532,0.0231,0.0154,-0.0148
Slc5a12,0.0224,0.0022,-0.0169,-0.0371
4930455C21Rik,-0.0857,-0.1499,-0.0689,-0.1331
Adam34,0.0021,-0.0402,0.0226,-0.0198
Pxmp3,-0.1845,-0.2372,-0.3186,-0.3713
Gmnn,-0.0327,0.061,0.0358,0.1295
Syce2,-0.2679,-0.3308,-0.1304,-0.1934
Dctn3,0.1827,0.2747,0.0317,0.1237
AC139671.1,-0.0373,-0.0461,-0.0544,-0.0632
Obp1a,0.0114,-0.0468,0.0576,-5.72717566186043E-4
AC118627.1,-0.648,-0.6483,-0.0283,-0.0285
AC118627.1,0.021,0.0464,0.0851,0.1105
Car5b,0.0243,0.0869,0.0135,0.076
Zfp420,0.0087,-0.0132,-0.0414,-0.0632
Zdbf2,-0.2408,-0.4656,0.034,-0.1908
AC114645.1,-0.0708,-0.0473,-0.0193,0.0042
AC121290.1,-0.0203,-0.009,-0.0366,-0.0254
ORF61,0.0873,-0.0084,0.1418,0.0461
Zfp869,-0.1857,-0.1572,-0.1317,-0.1032
AC132277.1,0.0756,0.0954,0.0323,0.052
Ankrd33,0.0558,0.0716,0.0335,0.0492
RP23-374K9.1,0.0083,0.0406,0.1272,0.1595
AC158122.1,-0.1527,-0.0849,-0.0816,-0.0138
Ascc3,0.0408,0.0902,-0.0898,-0.0404
Hmx1,0.0059,-0.0553,0.0201,-0.0411
Olfr10,0.0103,-0.0289,0.011,-0.0282
AC147612.2,-0.0785,0.002,-0.0853,-0.0049
Cdc6,-0.0542,0.0474,-0.0121,0.0896
1110008P14Rik,0.2223,0.0543,0.2755,0.1075
AC132362.2,0.0287,0.0593,0.0055,0.0362
Olfr299,0.0386,0.0033,0.0318,-0.0035
Fibin,0.0347,0.0178,0.0093,-0.0076
E130018O15Rik,-0.0118,-0.0291,-0.018,-0.0353
Tulp1,-0.0568,-0.1028,-0.0974,-0.1435
AC162941.1,0.3488,-0.0426,0.2755,-0.116
AL772138.2,0.0061,0.0582,0.0608,0.1129
Cfh,0.0182,-0.0374,0.0313,-0.0243
Ogdh,0.1738,0.1702,0.1063,0.1028
Sardh,0.007,-0.0066,-0.0021,-0.0157
Artn,-0.0926,-0.177,-0.1483,-0.2327
Kif20a,-0.0326,0.0418,-0.0032,0.0712
Trip12,0.0206,0.3859,0.2421,0.6074
AL807745.4,-0.0738,-0.0845,0.1148,0.1042
Gjd2,0.0145,0.0406,0.0364,0.0625
RP23-88C4.2,-0.0259,0.0653,-0.0875,0.0037
Ifna9,0.035,0.0257,-0.0082,-0.0175
Bpnt1,-0.0158,-0.0759,-0.0444,-0.1045
Cyp17a1,0.0048,-0.0587,-0.0304,-0.0939
Pax6,-0.0118,-0.0529,0.0161,-0.025
Foxn4,-0.0709,-0.0071,-0.1058,-0.042
C230081A13Rik,-0.0214,-0.0404,-0.1091,-0.1282
Olfr301,-0.0638,-0.0545,-0.0472,-0.0379
Crtam,-0.0035,-0.0129,-0.0161,-0.0255
Armc2,0.0733,0.0612,0.0665,0.0544
Rdh13,0.0138,0.0767,-0.0121,0.0508
Arnt,-0.0506,-0.0465,-0.0229,-0.0187
A530023O14Rik,0.0045,-0.0696,0.0161,-0.058
Dedd,-0.0643,0.026,-0.0586,0.0317
Zmat5,0.1461,-0.1022,-0.085,-0.3333
Pak1,-0.1414,-0.1859,-0.1161,-0.1606
Ndufb8,0.1311,0.1218,0.2226,0.2133
Ptprm,-0.0125,-0.0174,0.0206,0.0157
AC153969.2,0.1033,0.0812,0.0325,0.0104
AL589878.2,-0.0069,0.0211,-0.0062,0.0217
Pex5,0.1957,0.1005,0.2386,0.1434
AC158530.1,-0.0437,0.0904,-0.0286,0.1055
Kit,1.1667,1.224,0.6151,0.6724
4930578I06Rik,-0.0312,-0.0478,-0.0246,-0.0412
Kctd6,-0.304,-0.1923,-0.0131,0.0986
Mtmr1,0.161,0.1022,0.0623,0.0035
Ugp2,0.0342,-0.1217,0.1275,-0.0283
1700011H22Rik,0.0142,0.0228,0.0094,0.0179
Olr1,-0.0433,-0.0575,0.0513,0.0371
1110057K04Rik,0.1132,-0.1438,0.2053,-0.0517
Gm5346,-0.0226,-0.0618,-0.032,-0.0712
Lta,-0.0408,-0.0211,-0.0064,0.0134
AL611985.2,-0.0092,0.0131,0.0049,0.0273
Dyrk1a,-0.1558,-0.0203,-0.0977,0.0379
Gnpnat1,0.0764,0.0248,0.0835,0.032
Pkig,0.2427,-0.1265,0.3342,-0.0349
Muc6,0.0183,0.0819,-0.0452,0.0184
Bpil3,0.0205,-0.0018,-0.0027,-0.025
Nfkbie,0.1138,0.1399,0.1386,0.1647
AI607873,-0.0121,-0.0153,0.007,0.0039
AC087184.4,-0.0198,-0.0132,7.67E-04,0.0074
AC155314.2,0.1435,0.0757,-0.0161,-0.0839
Heatr6,-0.0537,-0.056,0.049,0.0468
Acsl6,-0.0195,-0.0515,0.0352,0.0033
Prickle1,0.0514,-0.362,-0.0784,-0.4917
Utp18,-0.0144,-0.0332,0.0066,-0.0121
Adamts16,-0.0761,-0.076,-0.0565,-0.0565
Trmt61a,-0.02,-0.1451,-0.1139,-0.2391
Ppcs,-0.1117,0.0107,0.089,0.2114
Ces8,-0.0323,-0.0318,-0.0131,-0.0125
0610039K10Rik,-0.0288,-0.004,-0.0063,0.0185
Foxc2,0.0295,0.0753,0.0142,0.06
Olfr611,-0.0384,-0.0705,0.0032,-0.0289
Pde3a,-0.0852,-0.0161,-0.0474,0.0216
Sdhaf1,-0.0247,0.1227,0.1066,0.2539
CR293526.2,0.0223,-0.0134,0.063,0.0273
Galc,-0.0695,-0.104,-0.0025,-0.037
Olfr1168,-0.0589,-0.0136,-0.0636,-0.0182
Stk40,0.0403,-0.0511,0.0971,0.0057
C78339,-0.0011,-0.258,0.0377,-0.2192
Il17f,0.0573,0.0607,0.0051,0.0085
1100001G20Rik,-0.041,-0.0191,-0.0534,-0.0314
Fap,-0.0436,-0.0419,-0.0041,-0.0024
Cyld,0.0852,-0.0801,0.059,-0.1064
Agphd1,0.0267,-0.0119,0.0195,-0.0192
Smox,0.0475,0.3158,-0.1646,0.1036
Uqcc,-0.0498,-0.1012,-0.024,-0.0754
Hsd3b4,-0.0162,-0.007,-0.0964,-0.0873
4933432B09Rik,-0.0583,-0.0512,-0.0164,-0.0093
Psg22,-0.0603,-0.084,-0.0223,-0.046
5730455P16Rik,0.0772,-0.0801,0.1739,0.0165
Rbm17,-0.0524,-0.1163,0.2112,0.1474
AL662812.2,5.49E-04,-0.0493,0.041,-0.0089
Neu2,-0.0032,0.0477,-0.0787,-0.0277
Uspl1,-0.7439,-0.5801,-0.3021,-0.1383
Defa21,-0.0261,-0.0072,-0.0276,-0.0086
AC108848.2,0.016,0.0349,0.017,0.036
AC161529.1,-0.0462,-0.0669,0.0198,-9.08674407411603E-4
Det1,0.0031,0.0144,-0.0064,0.0049
V1rc10,0.0193,0.034,0.0141,0.0289
Tuft1,0.0391,0.0461,0.0225,0.0296
Uxt,-0.093,0.0441,-0.1234,0.0137
Prr12,-0.0592,0.0186,-0.1068,-0.029
Enpp1,-0.0482,-0.0287,-0.035,-0.0155
Ciapin1,-0.288,-0.2307,-0.3022,-0.2449
AC125326.1,0.1136,0.0657,0.073,0.0251
Lsm1,-0.0404,0.1269,-0.1742,-0.0068
Helq,0.0268,0.0502,0.0135,0.0369
Nlrx1,-0.0682,-0.0462,0.0559,0.0778
2610036L11Rik,0.0516,0.3337,-0.0067,0.2753
Olfr99,-0.6027,-0.397,-0.4239,-0.2181
AC127338.1,0.0106,-0.0284,0.0445,0.0055
Olfr390,0.0337,0.0447,-0.0296,-0.0185
Zdhhc4,-0.021,-0.0493,0.1947,0.1665
Pth1r,-0.0462,-0.0403,0.0165,0.0224
AL929071.2,-0.0408,0.0419,-0.0283,0.0543
AY761185,-0.0122,0.1129,0.0029,0.128
Glb1l2,0.0351,-0.0418,0.0122,-0.0647
Gpn3,0.1741,0.1305,0.1163,0.0727
Sned1,0.0355,0.0375,0.0301,0.032
Mum1,-0.0016,-0.1159,-0.0528,-0.1671
5430402E10Rik,-0.0279,-0.005,0.0024,0.0253
1700019M22Rik,0.0895,0.0321,0.0348,-0.0226
Lsm8,-0.2031,0.0906,-0.2801,0.0136
Myo5b,0.0618,0.0368,0.0812,0.0561
Pdf,-0.1703,-0.0556,-0.0814,0.0333
Adra2c,0.0824,0.021,0.1124,0.0509
Lrrc8d,0.2367,0.1949,0.1633,0.1215
Bbox1,0.0018,0.0176,-0.0687,-0.0529
Rfc5,0.0072,0.096,-0.0107,0.078
Rgnef,-0.1087,-0.0975,-0.0765,-0.0654
Trim14,-0.0054,0.0034,0.0326,0.0415
AL607129.1,-0.0658,-0.19,0.0483,-0.0759
Gpr89,-0.0276,-0.0731,-0.0192,-0.0647
Zcchc16,0.0251,0.0236,0.0388,0.0372
Tppp,-0.0134,0.0542,-0.0704,-0.0028
BX679667.5,-0.0429,0.0054,-0.0619,-0.0137
D4Bwg0951e,-0.1039,-0.5444,-0.0445,-0.485
Slc45a1,-0.0652,0.011,0.0154,0.0916
Bpil1,-0.0453,-0.0384,-0.0257,-0.0187
Immt,-0.0861,-0.0987,0.1071,0.0945
Cryge,-0.079,-0.0562,-0.0809,-0.0581
Olfr1392,0.0103,-0.0289,0.011,-0.0282
BC056474,0.0106,-0.0146,0.0332,0.008
Chek1,-0.0214,-0.1639,-0.0827,-0.2252
Olfr1324,-0.0167,-0.0048,0.0641,0.0759
AC134533.4,0.046,-0.0124,-0.0295,-0.0879
Pdxp,0.2692,0.2259,0.207,0.1636
AC158361.2,-0.0273,-0.0605,0.0447,0.0114
Tmem151b,0.0143,-0.0564,0.059,-0.0116
Lipt2,-0.0096,0.0911,-0.0406,0.0601
Cd209a,-0.0409,-0.0319,-0.0505,-0.0415
Morn5,0.0422,0.0435,0.0453,0.0466
Pramel4,-0.0598,0.0327,-0.0517,0.0408
Bhlhb9,-0.2953,-0.0808,-0.1418,0.0727
Trappc2,-0.0118,-0.0424,0.0283,-0.0023
Gfpt1,-0.0029,0.0566,-0.0306,0.0289
V1rc11,-0.0504,-0.0613,0.0362,0.0252
Fam83c,0.0204,-0.0203,-0.0462,-0.0869
Olfr1167,-0.0034,-8.52E-04,-0.0153,-0.0127
Hcn1,-0.0088,-0.0282,0.0026,-0.0168
Cnot8,-0.0195,0.009,0.0032,0.0317
Cyp4f15,0.0047,-0.015,0.0054,-0.0142
Serinc3,0.2365,-0.0698,0.2527,-0.0535
Olfm3,0.0313,0.0515,0.0299,0.0501
Lipm,0.0433,0.0475,-0.0188,-0.0146
Hyal1,0.1053,-0.1063,0.2246,0.013
Cyp21a1,-0.043,-0.0601,-0.0319,-0.049
AL645668.5,0.0362,0.1322,-0.0717,0.0243
Acsm1,-0.0331,0.0079,-0.0443,-0.0033
Rtn4r,-0.0024,0.0172,-0.0337,-0.0141
Olfr1166,0.033,-0.0201,-0.0073,-0.0604
Fosl1,-0.0042,-0.0164,-0.0076,-0.0198
AL672182.1,-0.157,-0.3926,0.0175,-0.2181
Tm2d1,0.0186,-0.0087,0.0161,-0.0111
Mogs,-0.4059,-0.0011,-0.0871,0.3177
Slit2,-0.1813,-0.1865,-0.1236,-0.1288
Mr1,-0.0566,-0.0162,-0.0825,-0.042
4933427E13Rik,-0.0023,-0.0249,0.0677,0.0451
Cyp1a1,-0.0291,-0.0337,0.0162,0.0116
Itih4,0.0084,0.0086,-0.009,-0.0088
Olfr303,-0.0369,-0.0317,-0.0167,-0.0115
Olfr1164,0.0345,0.0025,0.0048,-0.0272
Slc36a1,0.0677,0.0118,0.0589,0.003
AL806531.2,0.0304,0.0246,0.0051,-6.15020500029928E-4
Sema5a,-0.0471,-0.0405,-0.0114,-0.0048
4922505G16Rik,0.0496,0.1034,0.0019,0.0556
Map4k2,-0.0057,0.0651,-0.0255,0.0454
AC129296.1,0.0903,0.0825,0.0449,0.0371
9130404H23Rik,0.0527,-0.0125,0.0232,-0.0421
Lsm10,0.1793,0.1613,0.1132,0.0953
Rhbdl3,0.0276,0.0475,-0.0361,-0.0162
Tspan2,-0.0713,-0.3121,-0.0473,-0.2881
Olfr304,-0.0235,-3.83E-04,5.27E-05,0.0232
4930555F03Rik,-0.1259,-0.0194,-0.0338,0.0727
Prkra,-0.1722,-0.1475,-0.1264,-0.1017
Rab25,-0.8156,-0.7726,-0.9208,-0.8778
AL669828.1,-0.0338,0.0194,0.0029,0.0561
8030463A06Rik,0.0521,-0.0334,0.0609,-0.0247
Atp7a,-0.0503,-0.0174,-0.079,-0.0461
1300003B13Rik,-0.029,-0.0469,-0.0167,-0.0346
Saps3,0.1807,0.1335,0.0458,-0.0014
Rab35,-0.2369,-0.3346,-0.4404,-0.538
Lrrc27,0.0159,-0.1844,-0.1371,-0.3375
Ssx2ip,-0.3897,-0.4484,-0.1583,-0.217
Rassf6,-0.0121,-0.0582,-0.0577,-0.1037
Dna2,-0.0098,0.0654,-0.0324,0.0427
Dtx3,-0.4841,-0.3428,-0.3344,-0.1931
Col3a1,0.0094,-0.0305,0.0308,-0.0091
Fut10,-0.0675,-0.0915,-0.1051,-0.1292
Cts6,0.022,0.0283,0.0147,0.021
Steap1,0.0854,0.4666,0.1591,0.5403
Aicda,-0.0123,-0.0281,-0.0095,-0.0253
BX511104.1,-0.0466,-0.0439,0.0201,0.0229
Zbtb39,0.0396,-0.034,0.076,0.0024
V1ri2,-0.003,0.0436,-0.0168,0.0297
Gzmm,0.1104,0.0167,0.1512,0.0575
Ifna14,-0.0457,-0.0659,-0.0054,-0.0255
Mapt,0.5789,0.6741,0.3232,0.4185
AC133959.1,-0.0441,-0.0479,0.0068,0.003
Tnfrsf19,-0.0304,-0.1539,-0.18,-0.3035
Ttpal,-0.0149,-0.0667,-0.0391,-0.091
Apob48r,0.1425,0.0353,0.2091,0.102
AU017455,0.0376,-0.0319,0.0531,-0.0163
Spag4l,0.0799,0.0802,0.008,0.0082
Hyal4,0.0305,0.0453,-0.0032,0.0116
Spata9,-0.0118,5.31E-04,-0.0089,0.0034
Higd1c,0.0115,-0.0625,0.0286,-0.0455
Olfr887,0.0297,0.0221,0.0208,0.0131
Csn3,-0.3251,-0.3491,-0.4357,-0.4598
Lax1,-0.0042,-0.0509,0.0683,0.0216
Sema6c,0.006,-0.0803,0.0227,-0.0636
Dusp21,-0.0247,-0.0745,-0.0295,-0.0793
4933407P14Rik,-0.0372,-0.0059,-0.0127,0.0186
Ehf,-0.0674,-0.0164,-0.0136,0.0375
AL596331.2,0.0212,0.0345,0.0317,0.045
Dtx3l,-0.1935,0.1394,-0.1674,0.1654
Bpgm,-0.0499,-0.0565,0.0179,0.0113
Pafah1b3,-0.1097,-0.0977,-0.0384,-0.0264
Akr1c21,-0.0011,0.0331,-0.0357,-0.0016
Acaa1b,0.1268,-0.0297,0.0363,-0.1202
Apbb2,0.029,-0.0441,-0.0387,-0.1118
Rbks,-0.052,0.12,-0.0234,0.1486
RP23-191A10.1,-0.0259,0.0653,-0.0875,0.0037
Gfi1b,0.0017,0.0418,-0.0228,0.0173
AC157492.1,-0.0314,-0.0447,-0.0091,-0.0224
Flii,0.0731,-0.0073,-0.254,-0.3345
Vps13a,0.0069,0.0754,0.086,0.1546
Pi4ka,-0.2064,-0.1716,-0.0162,0.0187
Aqp4,0.0118,0.0287,-0.0563,-0.0394
Phf5a,-0.0366,0.0852,-0.1889,-0.0671
Rab8b,0.0846,0.2994,-0.0467,0.1681
Hmox1,0.0095,-0.1086,-0.2251,-0.3432
2310016G11Rik,0.0323,0.0522,0.0184,0.0383
AL807745.3,-0.0183,0.0336,-0.0122,0.0398
Psme3,-0.1947,-0.2475,-0.4728,-0.5256
AC022298.2,-0.0502,-0.0611,-0.0191,-0.03
AI837181,-0.2005,-0.154,-0.0047,0.0417
Gp6,0.0779,0.0493,0.0901,0.0615
Sertad3,0.0831,0.0311,0.0973,0.0452
Pdlim3,0.0854,-0.4679,-0.2011,-0.7544
Fes,0.1083,0.0327,0.0869,0.0113
Olfr479,-0.0589,-0.0508,-0.0151,-0.0069
Slitrk6,-0.0297,0.0513,-0.0496,0.0314
Fen1,-0.1998,-0.0443,-0.2176,-0.062
Pyhin1,-0.0145,-0.0552,-0.0067,-0.0473
Nmd3,-0.1421,-0.2041,0.0796,0.0176
Lrrc8c,-0.1088,-0.184,-0.1985,-0.2738
Kif23,0.0507,0.0875,0.0312,0.068
Spr,0.2022,0.3577,0.2828,0.4383
Olfr305,0.014,0.0246,0.0188,0.0294
Ccdc12,-0.1432,0.0353,-0.1678,0.0107
AC110164.1,0.2222,0.3374,0.1452,0.2604
Lonp1,-0.0606,-0.0605,-0.1068,-0.1068
AC114668.1,0.0012,-0.0236,-0.042,-0.0668
Car10,0.0247,-0.047,0.0396,-0.0321
Mlph,0.0341,0.0551,0.032,0.0529
AC113277.1,-0.0655,-0.1452,0.0045,-0.0752
V1rc12,-0.0015,-0.0221,-8.58E-04,-0.0215
Rtn2,-0.0414,-0.1686,0.0505,-0.0767
Myo16,-0.0225,-0.0214,0.0538,0.055
Slc3a2,0.1926,0.0263,0.0405,-0.1257
Ifnb1,-0.0739,-0.0632,-0.0224,-0.0117
Ckap5,-0.0605,0.0074,-0.2381,-0.1703
Fpr-rs6,-0.0781,-0.0833,-0.0085,-0.0137
4931429I11Rik,-0.0037,0.0283,-0.0226,0.0094
Upf3a,0.1652,0.3089,0.0803,0.224
Cryz,0.0913,0.096,0.0559,0.0606
Zfp157,0.0481,0.1006,0.1347,0.1872
Paf1,-0.0122,-0.0256,-0.0154,-0.0288
AL645684.2,0.0072,0.012,0.0108,0.0157
Adi1,-0.174,-0.1133,0.1284,0.189
AL645471.1,0.0665,0.0191,0.0468,-6.35948649798657E-4
Gal,-0.0425,-0.1017,-0.0833,-0.1424
Sox8,-0.0891,0.0041,-0.0351,0.0582
Jup,0.1281,0.1089,0.0962,0.077
Nuak1,-0.0204,0.0411,-0.0154,0.0461
Col22a1,0.0448,-0.0525,0.0677,-0.0296
Eef1a1,-0.025,-0.0852,0.038,-0.0223
Abp1,0.0744,0.0151,0.1,0.0407
Lce3c,0.0402,0.0126,-0.0372,-0.0648
Rpl29,0.1512,0.0646,0.1584,0.0718
Eif6,0.0453,0.0909,-0.1433,-0.0977
Sult2b1,0.0167,0.0549,0.0317,0.0699
Cyp2d34,-0.0289,0.0176,-0.0908,-0.0443
Kif2b,-0.0043,-0.0377,0.042,0.0086
Hif1a,-0.2203,-0.1973,-0.019,0.004
Cd68,0.0985,0.6829,-0.0431,0.5413
Sephs1,-0.0322,0.2097,0.029,0.2709
Rnf24,0.0261,0.0643,-4.96E-04,0.0377
Acads,0.5689,0.669,0.1027,0.2028
Fndc1,0.0133,-0.0126,0.026,7.08151256896272E-5
Tbc1d21,0.0603,0.0297,0.0312,5.75784697955051E-4
Spaca4,-0.0182,-0.0971,0.0317,-0.0472
Gtse1,0.1641,0.1936,0.0536,0.083
Olfr1162,-0.003,0.0031,0.0143,0.0204
V1rh5,-0.0119,0.0307,-0.017,0.0255
Pdk4,0.099,0.002,0.1189,0.0218
