genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
AC122813.4,0.979,0.7509,0.8714,0.956530697
9930104L06Rik,0.9463,0.7509,0.8092,0.544091868
Olfr589,0.9293,0.4392,0.9888,0.673787743
Klf17,0.4713,0.1714,0.5247,0.183971228
Atp6v1g3,0.9227,0.8151,0.875,0.938791299
BC025920,0.9586,0.6793,0.9646,0.880801882
Klk4,0.8547,0.9849,0.8869,0.987239442
Olfr138,0.7828,0.8077,0.8055,0.805170253
RP23-421J13.1,0.9994,0.9051,0.9527,0.99104858
Taar8b,0.9934,0.9406,0.9797,0.91804514
Wdr63,0.8629,0.6653,0.9266,0.994968832
Zfp352,0.6182,0.7886,0.9652,0.831046221
Hlx,0.8234,0.7011,0.758,0.612346406
Olfr203,0.7314,0.8667,0.9765,0.959757082
Nkd2,0.4544,0.5622,0.5773,0.672480434
Snhg11,0.2612,0.5404,0.2239,0.483320027
1700056E22Rik,0.8672,0.9068,0.7067,0.959038672
Cox17,0.0368,0.3925,0.3026,0.961135131
Fam193b,0.9002,0.692,0.821,0.884238546
Cwf19l2,0.8893,0.9293,0.9952,0.826569694
Asb13,0.8275,0.0976,0.846,0.089913711
Astn1,0.9934,0.8313,0.96,0.785565418
1810046J19Rik,0.6185,0.2696,0.7011,0.295157788
AC164597.2,0.8471,0.4191,0.9019,0.504425492
Efr3b,0.7838,0.8129,0.818,0.821261427
4930550L24Rik,0.9939,0.609,0.9877,0.647263962
Mylip,0.362,0.1606,0.6799,0.375059973
Fzd4,0.3473,0.5893,0.6634,0.868816618
Rhoc,0.8516,0.6878,0.7122,0.923668243
RP23-224B9.1,0.8126,0.9266,0.9178,0.99060454
Defb5,0.9057,0.9338,0.7978,0.960516811
AC153616.1,0.8124,0.7137,0.8203,0.706731783
RP23-418K7.1,0.7385,0.5665,0.9301,0.814076612
4922502D21Rik,0.934,0.7872,0.9503,0.986079492
Senp6,0.2896,0.1062,0.8543,0.538014915
Scrib,0.7493,0.7833,0.509,0.997729058
Whsc2,0.6147,0.5628,0.892,0.853447047
Ntrk3,0.9068,0.4739,0.97,0.779487235
Phc1,0.854,0.0374,0.9833,0.012900743
Dr1,0.9393,0.8776,0.977,0.761084793
Ganc,0.882,0.6232,0.9979,0.860305024
Asb15,0.6373,0.7188,0.6232,0.686248259
EG667646,0.8286,0.8162,0.998,0.997729058
Tnfaip8,0.9376,0.5891,0.9608,0.667170234
Mtap1s,0.8459,0.9222,0.4787,0.811517316
AC129222.3,0.4903,0.9362,0.7867,0.951180184
Hnrnpa3,0.9827,0.7211,0.5868,0.847535176
D8Ertd82e,0.8044,0.5825,0.9256,0.202837778
AL773595.1,0.9745,0.9564,0.8791,0.834283864
4930447A16Rik,0.2349,0.22,0.8906,0.87309094
Ndufa3,0.3535,0.2652,0.6603,0.538014915
Gm5796,0.7333,0.2294,0.9913,0.597610513
Dip2b,0.9792,0.6916,0.9312,0.911180717
Ufm1,0.7729,0.7542,0.9687,0.567679415
A230046K03Rik,0.6927,0.3487,0.8451,0.497465208
BX323026.1,0.8941,0.9904,0.9438,0.992766386
Opn4,0.7146,0.6724,0.842,0.788553105
AL935060.4,0.662,0.4022,0.9909,0.898482422
Cog3,0.1882,0.0414,0.0559,0.203089137
AL935060.2,0.8118,0.8654,0.6857,0.999006706
Afp,0.9612,0.8511,0.9634,0.866576787
Gpx2,0.2134,0.6326,0.6409,0.293925422
Rhox13,0.9227,0.1796,0.9783,0.257929894
Acpl2,0.9789,0.4722,0.8414,0.870835035
Ap2s1,0.3161,0.1252,0.7682,0.441669097
Nrd1,0.0524,0.2995,0.8475,0.852544262
Zfat,0.8136,0.5932,0.6278,0.378746079
C77080,0.1564,0.0116,0.9466,0.280542079
Bcorl1,0.9289,0.8256,0.8846,0.766488269
A630055G03Rik,0.9746,0.6547,0.9924,0.686727793
Trip10,0.4831,0.2942,0.9237,0.997951192
2300002M23Rik,0.9373,0.9994,0.9868,0.926476101
5530400C23Rik,0.6849,0.5361,0.9994,0.208839087
Cbwd1,0.0796,0.9779,0.0672,0.974297774
2700089E24Rik,0.9889,0.9924,0.9732,0.966638357
Anxa9,0.9958,0.9433,0.9994,0.958972761
AL844581.1,0.5055,0.0911,0.8509,0.843800383
Calcoco2,6.69421675853245E-4,0.9027,0.0012,0.995336946
Sdccag3,0.5692,0.041,0.973,0.222147338
BX571804.1,0.7253,0.3434,0.8291,0.992766386
1700020N01Rik,0.8364,0.9603,0.8603,0.663174369
AL935060.1,0.8118,0.8654,0.6857,0.999006706
Gstcd,0.7677,0.2405,0.849,0.876307293
Gga1,0.6563,0.4486,0.9634,0.970978682
Gm11046,0.9011,0.8971,0.9661,0.959376321
Ggta1,0.2471,0.0149,0.0814,0.003844316
Lce1d,0.605,0.4619,0.9454,0.864281844
Gpt,0.9347,0.7305,0.8475,0.970156601
Msi2,0.3048,0.5551,0.8454,0.992897719
1700021A07Rik,0.9895,0.9061,0.9641,0.989444824
Tpst2,0.5991,0.8838,0.4485,0.991692583
Nfatc1,0.6503,0.3498,0.9877,0.808805874
AC126250.5,0.9428,0.869,0.7719,0.964575313
Poteg,0.7919,0.8165,0.8714,0.879433766
3110003A17Rik,0.5235,0.4796,0.8403,0.791422941
Rel,0.8204,0.8174,0.9757,0.979349456
Gpr39,0.9373,0.5815,0.7122,0.935269115
Clic4,0.3084,0.5531,0.0447,0.943460675
Fmnl3,0.3412,0.8336,0.8799,0.349224638
Olfr218,0.4041,0.7604,0.9635,0.666248678
Onecut2,0.0824,0.9696,0.421,0.712178851
B630019K06Rik,0.7852,0.9931,0.7013,0.934464237
Taar8a,0.9373,0.723,0.916,0.698123129
Ptgds,0.4791,0.9176,0.8919,0.856490649
4933412E24Rik,0.8808,0.655,0.974,0.934457163
Eif2s2,0.3433,0.1066,0.0229,0.004724204
Trim47,0.9786,0.8485,0.9877,0.875451515
Cops7a,0.0223,0.0128,0.0318,0.013853554
Xpa,0.0234,0.2644,0.121,0.715708533
Olfr849,0.7753,0.8835,0.5702,0.960315195
Gm1220,0.9003,0.9266,0.9304,0.944507494
Olfr1406,0.9037,0.6797,0.7807,0.925347823
AL845455.3,0.6182,0.2423,0.4242,0.525580677
Arhgap20,0.725,0.2536,0.9388,0.806166637
Olfr1099,0.6059,0.5909,0.8559,0.836079238
Rad23a,0.6262,0.6818,0.7859,0.814613712
Nsun4,0.534,0.6553,0.8559,0.931987507
Slc12a6,0.9912,0.5381,0.8693,0.864529895
Ncam1,0.8753,0.0031,0.9527,0.004344841
Cyp2j9,0.7762,0.6566,0.6273,0.478467484
AL607152.3,0.7725,0.64,0.9885,0.972407304
AC125200.2,0.7151,0.8569,0.9098,0.750951237
1700106J16Rik,0.9941,0.9756,0.9663,0.988950108
Sfrp1,0.8282,0.5748,0.9361,0.523364675
Dapp1,0.7287,0.8539,0.6467,0.975878096
9030425E11Rik,0.8928,0.9549,0.9786,0.797354832
Gm6957,0.2254,0.2714,0.9579,0.992430214
Stat6,0.0484,0.0044,0.9782,0.411549889
Lcn9,0.8909,0.905,0.5047,0.801331049
Dock5,0.5341,0.8069,0.0794,0.682458652
AL645741.2,0.7624,0.1711,0.8829,0.74362833
Tcra-V22.4,0.9263,0.8978,0.7637,0.95347879
Otp,0.7579,0.9098,0.96,0.964725145
Ston2,0.907,0.8108,0.8008,0.97618074
AL627069.2,0.8132,0.9867,0.8421,0.976647866
Fam19a1,0.6818,0.661,0.7567,0.719981172
Zfp458,0.5768,0.8353,0.7011,0.905840206
Treh,0.6773,0.8313,0.7027,0.828048621
Olfr1098,0.3975,0.6659,0.697,0.354844112
Stx3,0.0562,0.0136,0.4422,0.129770509
AC166833.1,0.6825,0.9438,0.9252,0.934373787
Mll2,0.8311,0.7329,0.9742,0.926476101
Ldlrad3,0.7086,0.7976,0.9509,0.86530011
AC126250.6,0.9858,0.8893,0.9918,0.920776905
C430014K11Rik,0.8825,0.7511,0.9819,0.907766539
Ccdc63,0.0207,0.0867,0.9967,0.696046518
Slc46a3,0.0914,0.0228,0.0073,0.001724044
Chi3l3,0.3774,0.9688,0.4445,0.981977272
Setd2,0.5012,0.298,0.9617,0.826767605
9130230L23Rik,0.4182,0.3005,0.5481,0.397301881
Mrpl50,0.8365,0.9394,0.8713,0.965097111
Rgsl1,0.9739,0.989,0.9454,0.921288785
Fam174a,0.9882,0.5677,0.938,0.75615798
4930402F06Rik,0.8828,0.2505,0.9594,0.358410827
Ppp1r1a,0.0738,5.83772180907255E-4,0.2327,0.001419987
AC126250.2,0.9338,0.657,0.9507,0.450648484
AL772135.2,0.1588,0.1796,0.9356,0.963940362
Elp4,0.9878,0.7473,0.9484,0.876307293
AC171401.1,0.9109,0.3571,0.9611,0.350887912
1100001E04Rik,0.933,0.8567,0.6963,0.569113809
Six1,0.0333,0.2612,0.4603,0.979099293
Topbp1,0.6681,0.7075,0.9457,0.971092492
Pex10,0.2315,0.2446,0.5216,0.53140736
Nedd1,0.7457,0.6647,0.9098,0.19091396
Nop10,0.0683,0.2032,0.3628,0.686727793
Cox4i1,0.1324,0.1524,0.6726,0.700161524
Tmprss13,0.9505,0.6148,0.6838,0.281298329
Psmd14,0.2143,0.9757,0.604,0.732523461
Gadd45gip1,0.8744,0.1597,0.8516,0.650342274
AL611930.4,0.6144,0.7907,0.9726,0.948889126
Tmprss11bnl,0.2436,0.1572,0.7623,0.609459003
Ulk3,0.7287,0.7791,0.9209,0.952111781
Klk5,0.7314,0.7902,0.6835,0.920776905
Herpud2,0.7161,0.653,0.9257,0.887042408
Rbbp8,0.9666,0.8704,0.6716,0.495752737
Tmc1,0.9535,0.6217,0.9203,0.920197865
Casc1,0.8075,0.5533,0.804,0.941337722
Pelp1,0.41,0.4512,0.9759,0.938265741
Fmnl1,0.8358,0.8473,0.7406,0.730103106
RP23-360H6.2,0.7545,0.6729,0.9604,0.983085388
Unc93a,0.9227,0.8949,0.9064,0.963511794
Gm701,0.7071,0.4228,0.9218,0.699638289
Bcl2l12,0.7314,0.759,0.9385,0.957704407
Slmap,0.7824,0.5399,0.8606,0.972407304
Scn8a,0.6536,0.3487,0.9509,0.930671914
Sh3gl1,0.8365,0.7405,0.7922,0.826510277
Nut,0.926,0.8813,0.9544,0.897250318
AL606915.1,0.9994,0.9051,0.9527,0.99104858
Slc3a1,0.7314,0.7966,0.9947,0.972522298
Hipk3,0.8941,0.9308,0.8094,0.828399971
Mup7,0.1408,0.0932,0.8475,0.727968976
BX571885.3,0.5055,0.0911,0.8509,0.843800383
AL844901.1,0.9445,0.5294,0.9745,0.6274151
Wdr85,0.4557,0.264,0.8547,0.652028785
Car11,0.7314,0.1787,0.3463,0.037722804
Col8a1,0.6076,0.5669,0.8507,0.811732851
Lbp,0.7327,0.558,0.7695,0.853047658
AL732546.5,0.9706,0.374,0.944,0.513803462
Tlr9,0.6962,0.9275,0.9013,0.974919284
Pacs1,0.5777,0.6059,0.6959,0.712178851
Gmps,0.1518,0.1482,0.7107,0.690476822
Fam158a,0.0024,0.1058,0.0266,0.687640121
Smad2,0.3744,0.8978,0.8714,0.821767834
AC166823.1,0.9841,0.9027,0.9549,0.975125715
Ndfip2,0.7996,0.0023,0.3108,4.79773764339735E-4
Gpr137c,0.9812,0.9746,0.8785,0.846447798
Syde2,0.9379,0.3767,0.8874,0.787883755
Cpt2,0.2341,0.6054,0.5948,0.934457163
Mllt3,0.1328,0.3198,0.7732,0.968284184
Pomc,0.6108,0.7786,0.9594,0.819403632
Tlr11,0.9298,0.9716,0.9712,0.958879206
Alg8,0.6141,0.2175,0.9371,0.573409872
AC166823.4,0.979,0.7509,0.8714,0.956530697
Pepd,0.8503,0.3637,0.3901,0.072458631
Slc22a4,0.5798,0.7825,0.9797,0.924586211
AL928942.1,0.8565,0.3992,0.9098,0.479850259
Prdm5,0.6345,0.6691,0.8906,0.914034124
Arsa,0.8761,0.9894,0.2756,0.402234822
Olfr874,0.6064,0.8004,0.8634,0.975125715
Ceacam9,0.7525,0.9319,0.4429,0.852446408
Tfrc,0.0534,0.2174,0.2702,0.052761547
A130095M15Rik,0.8403,0.8607,0.9372,0.899792832
AL928886.1,0.524,0.8293,0.4272,0.726941751
Fam5b,0.8067,0.1748,0.9947,0.468894369
AL590988.1,0.7253,0.3434,0.8291,0.992766386
a,0.7889,0.9442,0.8033,0.986311887
AC139675.1,0.7531,0.7333,0.9751,0.972638421
Cxcl12,0.0705,0.0155,0.1275,0.022165681
Olfr586,0.9762,0.9159,0.6634,0.798027997
A130095M15Rik,0.9664,0.9955,0.919,0.944481007
Ndrg2,0.2363,0.3471,0.2227,0.312291924
Glod4,0.7398,0.5619,0.8903,0.966277287
Gm2897,0.7333,0.2294,0.9913,0.597610513
Slc17a6,0.2062,0.4455,0.9161,0.950215304
Chtf8,0.6694,0.444,0.8784,0.68935795
AC146604.5,0.8012,0.6633,0.8598,0.727246837
Arhgef10l,0.7712,0.4848,0.8514,0.517444652
Eif3k,0.9945,0.828,0.9833,0.831046221
Mre11a,0.9538,0.9414,0.7112,0.680489687
Pdcd6ip,0.9223,0.8807,0.8911,0.964276237
Gata6,0.1288,0.1171,0.7731,0.730103106
Phf20,0.4133,0.2637,0.8914,0.965160152
Mrps36,0.8761,0.5568,0.9305,0.935549385
Tmsb10,0.8088,0.156,0.4594,0.037508981
P2ry2,0.7979,0.5902,0.9611,0.831630114
Mfap3l,0.5044,0.0271,0.7408,0.050227438
E030011O05Rik,0.0572,0.5032,0.0399,0.392564072
Pdia2,0.6438,0.9871,0.929,0.531234257
Hexim2,0.5985,0.0213,0.7198,0.523760838
Prm1,0.766,0.6711,0.8008,0.760072363
Serpinb9c,0.9707,0.4188,0.8874,0.668176499
Corin,0.3895,0.7023,0.78,0.976939095
Slk,0.0284,0.6871,0.0683,0.896604308
AC154338.1,0.8523,0.3697,0.9209,0.835068846
AC127695.1,0.9364,0.7262,0.9819,0.909300634
4930518F22Rik,0.2602,0.9154,0.6751,0.876307293
AC146604.4,0.795,0.5919,0.9509,0.818141643
AC166360.1,0.8092,0.5037,0.9656,0.90810563
4933427E11Rik,0.646,0.9848,0.6293,0.948889126
AC122849.3,0.4437,0.5915,0.4064,0.550674964
SNORA71,0.1245,0.8996,0.9995,0.06958207
Fam180a,0.3657,0.8261,0.4628,0.887205183
Mrps17,0.7587,0.7563,0.7227,0.887684741
AC166163.1,0.0886,0.6175,0.5142,0.963742786
Tusc4,0.4148,0.0534,0.7575,0.149378881
Has3,0.9886,0.9814,0.8956,0.831507363
AC122849.1,0.9387,0.9356,0.7058,0.676234903
AC122849.2,0.7065,0.8228,0.8705,0.944880926
6330416L07Rik,0.9068,0.5656,0.9913,0.759831885
AC122849.6,0.9607,0.6589,0.9941,0.771540028
AC112688.1,0.9803,0.6991,0.774,0.386108032
Commd9,0.9549,0.9037,0.9187,0.854156472
AC160990.1,0.8903,0.8759,0.9744,0.814689696
Foxd4,0.9967,0.6842,0.7244,0.975555509
Mrpl9,0.4132,0.5295,0.2932,0.782029832
Tle4,0.0105,0.1283,0.0732,0.566644533
Tcfap2d,0.9444,0.901,0.977,0.951821988
AC102689.3,0.8898,0.8586,0.9691,0.650787103
Clstn1,0.8986,0.96,0.5228,0.595802156
Ctr9,0.5095,0.3232,0.3086,0.653391043
Cttnbp2,0.8436,0.6862,0.9596,0.853536145
Ap2b1,0.873,0.3062,0.7845,0.914462302
Kdm3a,0.4098,0.641,0.5948,0.798420255
AC160473.3,0.8065,0.7423,0.7341,0.738806722
Mrpl16,0.0483,0.0157,0.06,0.014986197
Gstm6,0.8105,0.5491,0.6521,0.363543992
AC163348.1,0.9912,0.7661,0.9301,0.636426294
Tbc1d13,0.8208,0.9591,0.8333,0.607293144
AC163348.2,0.9258,0.6894,0.704,0.977997284
Plcz1,0.6056,0.7154,0.9372,0.993027823
AC073939.3,0.8972,0.9894,0.9888,0.924586211
4930568D16Rik,0.8686,0.9066,0.952,0.866576787
SCARNA20,0.972,0.8138,0.9277,0.932824051
AC073939.2,0.5057,0.826,0.9725,0.845921701
Glt6d1,0.2404,0.217,0.756,0.707133179
Lmx1a,0.7954,0.1701,0.996,0.061331798
Six6,0.7081,0.7643,0.969,0.997435694
SNORD24,0.9994,0.9051,0.9527,0.99104858
Heca,0.9766,0.7256,0.9204,0.884467046
AL844844.1,0.7981,0.5254,0.7173,0.885241729
snR39B,0.6438,0.9787,0.7094,0.982572589
AC073939.1,0.9298,0.9834,0.8337,0.9221354
2310057J18Rik,0.9294,0.8357,0.96,0.850110061
AL773534.1,0.721,0.9096,0.833,0.567472408
mmu-mir-719,0.752,0.9736,0.6625,0.886610762
AC073939.4,0.9482,0.9031,0.8726,0.887121122
mmu-mir-503,0.3767,0.5624,0.2796,0.438939787
Brdt,0.1936,0.5111,0.3118,0.67769601
Lgals2,0.2403,0.3807,0.8176,0.932350577
Bpi,0.961,0.9946,0.953,0.987626919
Arid4b,0.4448,0.6487,0.8861,0.99483872
Cox4nb,0.2514,0.4002,0.9877,0.863463837
AC164609.2,0.4717,0.7061,0.5856,0.786736638
Cd69,0.8987,0.821,0.9601,0.99104858
Leng8,0.2648,0.102,0.9594,0.924586211
CT030013.3,0.5978,0.8588,0.9684,0.890947595
Zbtb11,0.6884,0.4301,0.9592,0.788771176
Cisd1,0.9463,0.5624,0.977,0.662844198
Aox1,0.5282,0.4016,0.919,0.831046221
AC164609.3,0.6822,0.6448,0.9019,0.874601887
Kctd21,0.2239,0.6882,0.0813,0.359308736
Igh-VJ558,0.9258,0.6894,0.704,0.977997284
BX649461.2,0.7674,0.9555,0.9807,0.666843508
Clpx,0.9765,0.6928,0.1495,0.352668566
Cflar,0.5128,0.7833,0.9744,0.882908961
Igsf21,0.7796,0.0115,0.8785,0.01363917
AL669827.1,0.7697,0.9905,0.9976,0.815121361
Tubg2,0.1423,0.9555,0.8652,0.277737985
2310061J03Rik,0.0185,0.006,0.349,0.12096648
Igh-VJ558,0.4717,0.7061,0.5856,0.786736638
RP24-548P4.1,0.1825,0.0455,0.8995,0.532080899
2310033E01Rik,0.3058,0.2257,0.9909,0.956026552
Chst8,0.2085,0.6039,0.5419,0.925901617
Defb46,0.9381,0.93,0.9187,0.90526909
Gimap5,0.6106,0.6314,0.9507,0.970156601
Rccd1,0.3336,0.684,0.0097,0.398040019
Med30,0.7314,0.0886,0.9687,0.249430553
Krtap4-6,0.5275,0.8496,0.8948,0.948705137
Trib1,0.9017,0.1354,0.8496,0.5617384
1700060C20Rik,0.9352,0.5748,0.8018,0.856745382
Rplp2,0.4988,0.3121,0.4569,0.261469687
Lphn3,0.8602,0.2755,0.919,0.279802883
N28178,0.072,0.4016,0.3955,0.914522083
Lgals12,0.9399,0.7683,0.8874,0.694611845
Usp35,0.9416,0.9894,0.8976,0.773023681
Syce1l,0.878,0.5902,0.9155,0.64746888
SNORA75,0.9866,0.5885,0.8496,0.930682939
Grina,0.5996,0.7299,0.5228,0.886467076
Rheb,0.6981,0.345,0.9994,0.793722504
Ror2,0.3214,0.2694,0.9914,0.997729058
Slc31a2,0.7979,0.9666,0.6795,0.275725884
SNORD102,0.3728,0.341,0.9191,0.911502949
Lepre1,0.8986,0.7806,0.9607,0.874601887
Tas2r140,0.7133,0.2791,0.9356,0.554910599
Gsta2,0.9151,0.9848,0.7367,0.852293698
Ctla2a,0.9897,0.6805,0.6101,0.905840206
Nfe2l3,0.889,0.7966,0.6697,0.189300668
RP23-146F24.4,0.7476,0.9656,0.9252,0.538683453
Olfr202,0.6523,0.5297,0.7542,0.620559325
AC079181.7,0.9482,0.9031,0.8726,0.887121122
AL845528.1,0.0508,0.0925,0.9815,0.936514134
AC079181.2,0.8338,0.872,0.9367,0.518533004
Aup1,0.1834,0.4941,0.0272,0.087759442
BC016423,0.0494,0.4461,0.0322,0.318702063
Olfr735,0.8663,0.679,0.8156,0.919786464
Tbx19,0.8649,0.7188,0.981,0.898444098
Dbil5,0.7859,0.332,0.951,0.816777383
Slc39a12,0.9894,0.9527,0.9916,0.987239442
Neu1,0.8292,0.6167,0.4973,0.979349456
AL663037.3,0.4739,0.9154,0.2161,0.876840726
Atp5g1,0.0283,0.4495,0.098,0.802700102
Pax7,0.7449,0.8764,0.8702,0.836865205
1700110I01Rik,0.9546,0.699,0.817,0.948889126
RP23-207B21.2,0.8166,0.7509,0.7578,0.901061359
4930422G04Rik,0.8349,0.1265,0.9924,0.294366596
AC108797.1,0.8602,0.9282,0.9765,0.722943599
Col9a1,0.2938,0.1264,0.5994,0.798698037
Ercc5,0.9844,0.2724,0.8278,0.112462078
AC079181.4,0.6981,0.6428,0.9801,0.99104858
SNORA53,0.6725,0.2013,0.4385,0.873946017
AC158121.2,0.0448,0.7292,0.1092,0.92796536
Adra1b,0.6102,0.3473,0.4557,0.214386668
Cytsa,0.8859,0.496,0.9917,0.773866112
Dmrta1,0.7242,0.3424,0.7553,0.34500039
St8sia3,0.9812,0.7217,0.2227,0.058739298
Fam86,0.9998,0.4738,0.6194,0.101952323
SNORD113,0.0072,0.0049,0.0217,0.011813926
Serpinb1b,0.1511,0.4922,0.9929,0.653748194
Wbp2,0.9282,0.1415,0.6835,0.447449838
Sh3rf2,0.9939,0.9602,0.853,0.86597377
Taf1c,0.0077,0.0028,0.0501,0.013449499
U6,0.6054,0.2536,0.8207,0.175775996
SNORD49,0.5383,0.8668,0.8383,0.986973399
Olfr1505,0.9934,0.9467,0.9338,0.86611054
Golga7,0.8585,0.5729,0.9249,0.963839687
Olfr1504,0.687,0.4848,0.9233,0.77512394
Ece2,0.9698,0.657,0.7906,0.992766386
Adcy2,0.4653,0.8582,0.9013,0.895497459
Dmap1,0.5362,0.8061,0.8385,0.989802957
AC073561.1,0.2498,0.6139,0.6528,0.957704407
Taf6,0.4799,0.4065,0.9863,0.999884438
Col11a1,0.578,0.6898,0.9122,0.973653061
AC073561.10,0.9838,0.9845,0.8818,0.907714171
AC103620.1,0.939,0.7546,0.9451,0.552116824
Cldn23,0.972,0.9987,0.8995,0.9225045
Hist1h2bk,0.0022,5.79914610676777E-4,0.6545,0.242243716
Tas1r2,0.7326,0.518,0.6936,0.462419484
Zfp180,0.3291,0.2437,0.9918,0.978050638
Ankrd49,0.0289,0.0221,0.2816,0.217920207
D630003M21Rik,0.8138,0.591,0.8464,0.684005223
AC073561.4,0.8801,0.6763,0.9575,0.806609955
AC107763.2,0.666,0.7604,0.9666,0.893458681
Mgat3,0.9946,0.1349,0.9365,0.080448567
Aldh8a1,0.9718,0.7441,0.9827,0.792943561
Ccne2,0.1176,0.1575,0.9278,0.977997284
AC073590.7,0.7349,0.8158,0.6172,0.679625166
AC073590.8,0.9186,0.723,0.9744,0.939553166
Gbe1,0.967,0.8702,0.8952,0.769470198
AC073590.6,0.8472,0.7072,0.958,0.861926111
Grxcr2,0.8894,0.7643,0.2968,0.760499073
Jrk,0.0679,0.7293,0.3518,0.957472205
Lrrc16a,0.7451,0.4541,0.8024,0.503589898
Apba2,0.6786,0.6125,0.9072,0.859734336
Cntnap5a,0.8734,0.9523,0.8976,0.777121036
Mrps23,0.0701,0.3606,0.1545,0.59270635
Mib1,0.6825,0.0071,0.7938,0.131480824
AL928931.4,0.7184,0.8836,0.5546,0.720671643
AC123930.2,0.4287,0.1304,0.6857,0.259201168
Sema3f,0.3767,0.3004,0.608,0.500887134
Rasgrf2,0.8238,0.9178,0.9809,0.968903834
Pglyrp2,0.2512,0.7053,0.763,0.965324966
Naa50,0.2871,0.6127,0.8008,0.998947432
Olfr1095,0.8734,0.9676,0.9753,0.968974263
AC169501.1,0.9899,0.4304,0.9586,0.592433271
Slc9a10,0.8459,0.4915,0.879,0.543550384
Cachd1,0.0313,0.006,0.1183,0.017552697
Fhad1,0.9924,0.4022,0.8008,0.810202477
Nfil3,0.9838,0.3962,0.9356,0.269442896
Ttc1,0.816,0.2448,0.7564,0.927551137
Hdgf,0.9734,0.8151,0.8643,0.645802556
AC073563.5,0.9257,0.8416,0.9897,0.78915408
AI314976,0.9818,0.8492,0.847,0.640520579
Kremen1,0.754,0.5328,0.8755,0.685702017
AC073563.8,0.758,0.9921,0.7602,0.967093691
D19Ertd386e,0.7794,0.6084,0.9279,0.806999987
AC073563.2,0.9257,0.8416,0.9897,0.78915408
Atxn2l,0.9761,0.5855,0.9635,0.497326652
Ptpn14,0.6503,0.0478,0.1976,0.006381915
SNORD38,0.9853,0.8858,0.879,0.957159888
Mcee,0.9684,0.93,0.899,0.919267011
Igh-VX24,0.9927,0.2716,0.9145,0.173609769
mmu-mir-1224,0.9803,0.9233,0.96,0.839976972
Tas2r109,0.9381,0.8978,0.9635,0.757051557
Slc1a3,0.7696,0.5829,0.8658,0.696468799
Wdr51b,0.8512,0.4115,0.1958,0.946763458
Por,0.8836,0.9297,0.9719,0.999417833
Tas2r131,0.8956,0.7821,0.9395,0.79652008
Cd74,0.4831,0.6687,0.9817,0.852293698
Scd3,0.9182,0.5599,0.63,0.910133026
Cbln3,0.1495,0.2419,0.9813,0.871381923
AC160985.9,0.8357,0.9845,0.9356,0.944799755
Eri3,0.4863,0.568,0.1822,0.973565621
AC160985.7,0.9014,0.9588,0.8732,0.994798467
Lap3,0.7228,0.8341,0.9634,0.867284468
AC114657.1,0.9012,0.9632,0.9209,0.827042692
Dot1l,0.9816,0.382,0.5347,0.046307425
Psg28,0.8816,0.9661,0.9734,0.907766539
AL590418.5,0.9934,0.7909,0.8385,0.993036507
Apc,0.6271,0.5087,0.8014,0.67915623
snoU54,0.8952,0.888,0.9367,0.896511163
Mrpl54,0.399,0.8897,0.3766,0.967121021
Vps33a,0.7697,0.7672,0.9109,0.90526909
SNORA69,0.2717,0.6612,0.4008,0.792159926
Omt2b,0.9456,0.7647,0.8367,0.95354314
AC122194.1,0.7542,0.8189,0.6364,0.684495892
Nrxn1,0.9818,0.4048,0.812,0.779405771
Fam83h,0.6505,0.7236,0.7098,0.781868612
Agbl1,0.727,0.7328,0.8517,0.709884177
Grm1,0.7556,0.9369,0.8573,0.603695931
AL646054.1,0.7969,0.9068,0.9908,0.947719518
AC160985.1,0.7412,0.6105,0.8453,0.720570054
SNORD47,0.9244,0.4809,0.485,0.875218795
AC160985.3,0.5751,0.8614,0.924,0.940964782
AC121108.1,0.9011,0.557,0.8543,0.184394082
Polr3c,0.5728,0.7824,0.6386,0.815121361
AC090887.2,0.9397,0.9112,0.9877,0.974297774
Smpd2,0.1495,0.1851,0.0543,0.055965692
Gm5797,0.9776,0.7348,0.8723,0.987239442
AC090887.10,0.9216,0.4226,0.8826,0.853536145
SNORA64,0.7624,0.1711,0.8829,0.74362833
H13,0.3915,0.5406,0.9339,0.993412762
Cfc1,0.4326,0.9931,0.4212,0.975555509
Gjb2,0.9381,0.7198,0.8696,0.990938514
Slc10a2,0.9299,0.7255,0.924,0.815121361
Olfr135,0.893,0.8648,0.8628,0.958214456
Ctnnbip1,0.324,0.1518,0.9131,0.704871597
AC090887.3,0.531,0.5132,0.6394,0.611998957
Olfr847,0.7545,0.5884,0.7301,0.752157994
SNORD45,0.713,0.8456,0.9495,0.65064562
AC090887.9,0.9833,0.7295,0.9578,0.894990287
Gif,0.961,0.592,0.7906,0.914462302
AL928931.3,0.7184,0.8836,0.5546,0.720671643
AL591606.2,0.8052,0.6503,0.9947,0.950458479
Olfr734,0.9947,0.9777,0.9648,0.975555509
Kdelr3,0.0764,3.81495946092867E-4,0.0261,1.33329553115865E-4
Chn2,0.6825,0.5323,0.489,0.331514771
AC090887.8,0.6884,0.7207,0.974,0.945588623
SNORD14,0.2058,0.2458,0.8658,0.766452038
RP23-299A2.5,0.971,0.5282,0.833,0.930757129
Efhd2,0.9376,0.9708,0.9705,0.965324966
Ccar1,0.2752,0.8996,0.375,0.888590922
